קטגוריה,שם הזמן בעברית,שם הזמן באנגלית,תיאור קצר,שיטה,KosherJava method,Hebcal API field,Zemaneh Yosef,הערות
לילה,חצות לילה,Chatzot HaLayla / Solar Midnight,חצי הלילה ההלכתי - אמצע בין שקיעה לזריחה,כללי,getSolarMidnight(),chatzotNight,yes - getSolarMidnight(),גם ב-AstronomicalCalendar
לילה,אשמורה שניה,Second Ashmoret,שתי שעות זמניות אחרי השקיעה,כללי,,,"yes - getSecondAshmora()",ייחודי לזמני יוסף
לילה,עלות השחר - 120 דקות,Alos 120 Minutes,120 דקות קבועות לפני הנץ,מג״א,getAlos120(),,no,
לילה,עלות השחר - 120 דקות זמניות,Alos 120 Zmaniyot Minutes,120 דקות זמניות לפני הנץ,מג״א,getAlos120Zmanis(),,no,
לילה,עלות השחר - 26 מעלות,Alos 26 Degrees,השמש 26 מעלות מתחת לאופק,כללי,getAlos26Degrees(),,no,חישוב קיצוני
לילה,עלות השחר - 19.8 מעלות,Alos 19.8 Degrees,השמש 19.8 מעלות מתחת לאופק,כללי,getAlos19Point8Degrees(),,no,
לילה,עלות השחר - 19 מעלות,Alos 19 Degrees,השמש 19 מעלות מתחת לאופק,כללי,getAlos19Degrees(),,no,
לילה,עלות השחר - 18 מעלות,Alos 18 Degrees,השמש 18 מעלות מתחת לאופק - דמדומים אסטרונומיים,כללי,getAlos18Degrees(),,no,שחרית אסטרונומית
בוקר,עלות השחר - 16.1 מעלות,Alos 16.1 Degrees,השמש 16.1 מעלות מתחת לאופק,מג״א,getAlos16Point1Degrees(),alotHaShachar,no,ברירת מחדל Hebcal
בוקר,עלות השחר - 96 דקות,Alos 96 Minutes,96 דקות קבועות לפני הנץ,מג״א,getAlos96(),,no,
בוקר,עלות השחר - 96 דקות זמניות,Alos 96 Zmaniyot Minutes,96 דקות זמניות לפני הנץ,מג״א,getAlos96Zmanis(),,no,
בוקר,עלות השחר - 90 דקות,Alos 90 Minutes,90 דקות קבועות לפני הנץ,מג״א,getAlos90(),,no,
בוקר,עלות השחר - 90 דקות זמניות,Alos 90 Zmaniyot Minutes,90 דקות זמניות לפני הנץ,מג״א,getAlos90Zmanis(),,no,
בוקר,עלות השחר - 72 דקות,Alos 72 Minutes,72 דקות קבועות לפני הנץ,מג״א,getAlos72(),,"yes - inherited",ברירת מחדל ZmanimCalendar
