city,date,zman,time
ירושלים,2026-07-29,netz,05:53:00
ירושלים,2026-07-29,chatzot,12:45:00
ירושלים,2026-07-29,shkia,19:38:00
ירושלים,2026-07-29,shma_gra,09:17:00
ירושלים,2026-07-29,tfila_gra,10:26:00
ירושלים,2026-07-29,mincha_ketana,16:49:00
ירושלים,2026-12-15,netz,06:32:00
ירושלים,2026-12-15,chatzot,11:34:00
ירושלים,2026-12-15,shkia,16:37:00
ירושלים,2026-12-15,shma_gra,09:00:00
ירושלים,2026-12-15,tfila_gra,09:52:00
ירושלים,2026-12-15,mincha_ketana,14:34:00
ירושלים,2027-03-22,netz,05:41:00
ירושלים,2027-03-22,chatzot,11:46:00
ירושלים,2027-03-22,shkia,17:52:00
ירושלים,2027-03-22,shma_gra,08:41:00
ירושלים,2027-03-22,tfila_gra,09:43:00
ירושלים,2027-03-22,mincha_ketana,15:22:00
ירושלים,2028-02-29,netz,06:07:00
ירושלים,2028-02-29,chatzot,11:51:00
ירושלים,2028-02-29,shkia,17:37:00
ירושלים,2028-02-29,shma_gra,08:57:00
ירושלים,2028-02-29,tfila_gra,09:55:00
ירושלים,2028-02-29,mincha_ketana,15:15:00
