city,date,zman,time
ירושלים,2026-07-29,alot,04:30:12
ירושלים,2026-07-29,misheyakir,04:43:57
ירושלים,2026-07-29,netz,05:52:44
ירושלים,2026-07-29,shma_mga,08:37:47
ירושלים,2026-07-29,shma_gra,09:19:03
ירושלים,2026-07-29,tfila_gra,10:27:49
ירושלים,2026-07-29,chatzot,12:45:34
ירושלים,2026-07-29,mincha_gedola,13:19:57
ירושלים,2026-07-29,mincha_ketana,16:46:04
ירושלים,2026-07-29,plag_yy,18:27:31
ירושלים,2026-07-29,shkia,19:38:00
ירושלים,2026-07-29,tzeit,19:53:29
ירושלים,2026-07-29,tzeit_humra,19:58:00
ירושלים,2026-07-29,tzeit_shabbat,20:08:00
ירושלים,2026-07-29,rt,20:50:00
ירושלים,2026-09-21,alot,05:13:27
ירושלים,2026-09-21,misheyakir,05:25:37
ירושלים,2026-09-21,netz,06:26:31
ירושלים,2026-09-21,shma_mga,08:52:41
ירושלים,2026-09-21,shma_gra,09:29:13
ירושלים,2026-09-21,tfila_gra,10:30:07
ירושלים,2026-09-21,chatzot,12:32:10
ירושלים,2026-09-21,mincha_gedola,13:02:37
ירושלים,2026-09-21,mincha_ketana,16:05:04
ירושלים,2026-09-21,plag_yy,17:34:54
ירושלים,2026-09-21,shkia,18:37:19
ירושלים,2026-09-21,tzeit,18:51:02
ירושלים,2026-09-21,tzeit_humra,18:57:19
ירושלים,2026-09-21,tzeit_shabbat,19:07:19
ירושלים,2026-09-21,rt,19:49:19
ירושלים,2026-12-15,alot,05:30:47
ירושלים,2026-12-15,misheyakir,05:40:53
ירושלים,2026-12-15,netz,06:31:20
ירושלים,2026-12-15,shma_mga,08:32:26
ירושלים,2026-12-15,shma_gra,09:02:43
ירושלים,2026-12-15,tfila_gra,09:53:11
ירושלים,2026-12-15,chatzot,11:34:08
ירושלים,2026-12-15,mincha_gedola,12:04:08
ירושלים,2026-12-15,mincha_ketana,14:30:42
ירושלים,2026-12-15,plag_yy,15:45:08
ירושלים,2026-12-15,shkia,16:36:51
ירושלים,2026-12-15,tzeit,16:48:12
ירושלים,2026-12-15,tzeit_humra,16:56:51
ירושלים,2026-12-15,tzeit_shabbat,17:06:51
ירושלים,2026-12-15,rt,17:37:24
ירושלים,2027-03-22,alot,04:27:47
ירושלים,2027-03-22,misheyakir,04:39:58
ירושלים,2027-03-22,netz,05:40:52
ירושלים,2027-03-22,shma_mga,08:07:01
ירושלים,2027-03-22,shma_gra,08:43:34
ירושלים,2027-03-22,tfila_gra,09:44:28
ירושלים,2027-03-22,chatzot,11:46:01
ירושלים,2027-03-22,mincha_gedola,12:16:28
ירושלים,2027-03-22,mincha_ketana,15:19:25
ירושלים,2027-03-22,plag_yy,16:49:14
ירושלים,2027-03-22,shkia,17:51:40
ירושלים,2027-03-22,tzeit,18:05:22
ירושלים,2027-03-22,tzeit_humra,18:11:40
ירושלים,2027-03-22,tzeit_shabbat,18:21:40
ירושלים,2027-03-22,rt,19:03:40
ירושלים,2028-02-29,alot,04:57:59
ירושלים,2028-02-29,misheyakir,05:09:28
ירושלים,2028-02-29,netz,06:06:56
ירושלים,2028-02-29,shma_mga,08:24:50
ירושלים,2028-02-29,shma_gra,08:59:19
ירושלים,2028-02-29,tfila_gra,09:56:46
ירושלים,2028-02-29,chatzot,11:51:28
