יום לועזי,יום עברי,חודש עברי,שעה"ז 72 דקות,מנחה קטנה,מנחה גדולה- בדיעבד,מנחה גדולה- לכתחילה,ר"ת ע"פ מג"א,ר"ת ע"פ הגר"א,ר"ת הפלג ק"ש,מנחת תמיד,חצות,מנחה גדולה,מנחה קטנה x"ט,פלג המנחה,הדל"ז 20 דקות,שקיעה במישור,שקיעת החמה במישור,צה"כ 13.5 ד' הגהה,צה"כ 13.5 ד' שיטות,סוף זמן,מוצ"ש 30 ד' במישור,מוצ"ש 30 ד' הגהה,צה"כ 8.5 מעלות,צה"כ ר"ת
Jan/01,א,טבת,5:32,5:37,6:39,6:37,8:37,9:08,9:39,10:00,11:43,12:13,14:40,15:59,16:26,16:46,16:51,16:58,17:03,17:11,17:16,17:21,17:26,17:47
Jan/02,ב,טבת,5:32,5:37,6:39,6:38,8:38,9:09,9:40,10:00,11:43,12:13,14:40,15:59,16:27,16:47,16:52,16:58,17:04,17:12,17:17,17:22,17:27,17:48
Jan/03,ג,טבת,5:32,5:38,6:40,6:38,8:38,9:09,9:40,10:00,11:44,12:14,14:41,16:00,16:28,16:48,16:53,16:59,17:05,17:13,17:18,17:23,17:27,17:49
Jan/04,ד,טבת,5:33,5:38,6:40,6:38,8:38,9:09,9:40,10:01,11:44,12:14,14:42,16:01,16:28,16:48,16:54,17:00,17:06,17:14,17:18,17:24,17:28,17:49
Jan/05,ה,טבת,5:33,5:38,6:40,6:38,8:39,9:10,9:41,10:01,11:44,12:14,14:42,16:02,16:29,16:49,16:54,17:01,17:07,17:14,17:19,17:24,17:29,17:50
Jan/06,ו,טבת,5:33,5:38,6:40,6:38,8:39,9:10,9:41,10:02,11:45,12:15,14:43,16:02,16:30,16:50,16:55,17:01,17:07,17:15,17:20,17:25,17:29,17:51
Jan/07,ז,טבת,5:33,5:38,6:40,6:38,8:39,9:10,9:41,10:02,11:45,12:15,14:44,16:03,16:31,16:51,16:56,17:02,17:08,17:16,17:21,17:26,17:30,17:52
Jan/08,ח,טבת,5:33,5:38,6:40,6:38,8:39,9:10,9:41,10:02,11:46,12:16,14:44,16:04,16:32,16:52,16:57,17:03,17:09,17:17,17:22,17:27,17:31,17:53
Jan/09,ט,טבת,5:33,5:38,6:40,6:38,8:39,9:11,9:42,10:02,11:46,12:16,14:45,16:05,16:33,16:53,16:58,17:04,17:10,17:18,17:23,17:28,17:32,17:54
Jan/10,י,טבת,5:32,5:38,6:40,6:38,8:40,9:11,9:42,10:03,11:47,12:17,14:46,16:05,16:33,16:53,16:59,17:05,17:11,17:19,17:23,17:29,17:33,17:55
Jan/11,יא,טבת,5:32,5:38,6:40,6:38,8:40,9:11,9:42,10:03,11:47,12:17,14:46,16:06,16:34,16:54,16:59,17:06,17:12,17:19,17:24,17:29,17:33,17:56
Jan/12,יב,טבת,5:32,5:37,6:40,6:38,8:40,9:11,9:42,10:03,11:47,12:17,14:47,16:07,16:35,16:55,17:00,17:07,17:12,17:20,17:25,17:30,17:34,17:57
Jan/13,יג,טבת,5:32,5:37,6:40,6:38,8:40,9:11,9:43,10:03,11:48,12:18,14:48,16:08,16:36,16:56,17:01,17:07,17:13,17:21,17:26,17:31,17:35,17:58
Jan/14,יד,טבת,5:32,5:37,6:40,6:38,8:40,9:11,9:43,10:04,11:48,12:18,14:48,16:08,16:37,16:57,17:02,17:08,17:14,17:22,17:27,17:32,17:36,17:59
Jan/15,טו,טבת,5:32,5:37,6:40,6:38,8:40,9:11,9:43,10:04,11:48,12:18,14:49,16:09,16:38,16:58,17:03,17:09,17:15,17:23,17:28,17:33,17:37,18:00
Jan/16,טז,טבת,5:31,5:36,6:39,6:38,8:40,9:12,9:43,10:04,11:49,12:19,14:50,16:10,16:39,16:59,17:04,17:10,17:16,17:24,17:29,17:34,17:37,18:01
Jan/17,יז,טבת,5:31,5:36,6:39,6:37,8:40,9:12,9:43,10:04,11:49,12:19,14:50,16:11,16:39,16:59,17:05,17:11,17:17,17:25,17:29,17:35,17:38,18:02
Jan/18,יח,טבת,5:31,5:36,6:39,6:37,8:40,9:12,9:43,10:04,11:49,12:19,14:51,16:12,16:40,17:00,17:06,17:12,17:18,17:26,17:30,17:36,17:39,18:03
Jan/19,יט,שבט,5:30,5:35,6:39,6:37,8:40,9:12,9:43,10:04,11:50,12:20,14:52,16:12,16:41,17:01,17:06,17:13,17:19,17:26,17:31,17:36,17:40,18:04
Jan/20,כ,שבט,5:30,5:35,6:38,6:37,8:40,9:12,9:43,10:04,11:50,12:20,14:52,16:13,16:42,17:02,17:07,17:14,17:20,17:27,17:32,17:37,17:41,18:05
Jan/21,כא,שבט,5:29,5:35,6:38,6:36,8:40,9:12,9:43,10:05,11:50,12:20,14:53,16:14,16:43,17:03,17:08,17:15,17:21,17:28,17:33,17:38,17:42,18:06
Jan/22,כב,שבט,5:29,5:34,6:38,6:36,8:40,9:12,9:43,10:05,11:51,12:21,14:54,16:15,16:44,17:04,17:09,17:16,17:21,17:29,17:34,17:39,17:43,18:07
